PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"45, 19.5, 55",−157.00 USD,−0.02%,241.50 USD,0.02%,5,20.00%,0.371,0,,0
"45, 19.5, 65",−157.00 USD,−0.02%,241.50 USD,0.02%,5,20.00%,0.371,0,,0
"45, 19.5, 75",−193.00 USD,−0.02%,277.50 USD,0.03%,5,20.00%,0.324,0,,0
"45, 19.5, 85",−158.00 USD,−0.02%,325.50 USD,0.03%,6,33.33%,0.526,0,,0
"45, 19.5, 95",−494.50 USD,−0.05%,518.00 USD,0.05%,8,25.00%,0.262,0,,0
"45, 20, 105",−738.00 USD,−0.07%,742.50 USD,0.07%,7,0.00%,0,0,,0
"45, 20, 115","−7,603.00 USD",−0.76%,"7,607.50 USD",0.76%,3,0.00%,0,0,,0
"45, 20, 125","−7,603.00 USD",−0.76%,"7,607.50 USD",0.76%,3,0.00%,0,0,,0
"45, 20, 135","−4,854.00 USD",−0.49%,"6,808.50 USD",0.68%,5,0.00%,0,0,,0
"45, 20, 145","−4,854.00 USD",−0.49%,"6,808.50 USD",0.68%,5,0.00%,0,0,,0
"45, 20, 25",−153.50 USD,−0.02%,189.00 USD,0.02%,2,0.00%,0,0,,0
"45, 20, 35",−356.50 USD,−0.04%,361.00 USD,0.04%,4,0.00%,0,0,,0
"45, 20, 45",+616.50 USD,+0.06%,"1,775.50 USD",0.18%,5,20.00%,2.682,0,,0
"45, 20, 55",−401.50 USD,−0.04%,406.00 USD,0.04%,6,0.00%,0,0,,0
"45, 20, 65",−471.50 USD,−0.05%,476.00 USD,0.05%,6,0.00%,0,0,,0
"45, 20, 75",−682.00 USD,−0.07%,686.50 USD,0.07%,7,0.00%,0,0,,0
"45, 20, 85",−702.00 USD,−0.07%,706.50 USD,0.07%,7,0.00%,0,0,,0
"45, 20, 95",−702.00 USD,−0.07%,706.50 USD,0.07%,7,0.00%,0,0,,0
"45, 3, 105","+1,184.50 USD",+0.12%,"5,100.00 USD",0.51%,203,28.08%,1.075,0,,0
"45, 3, 115","+1,863.50 USD",+0.19%,"4,156.00 USD",0.41%,209,27.75%,1.114,0,,0
"45, 3, 125","+3,159.00 USD",+0.32%,"3,523.50 USD",0.35%,155,29.68%,1.253,0,,0
"45, 3, 135","+2,016.50 USD",+0.20%,"3,843.00 USD",0.38%,159,28.30%,1.143,0,,0
"45, 3, 145","+1,330.50 USD",+0.13%,"4,595.00 USD",0.46%,162,27.16%,1.09,0,,0
"45, 3, 25",−737.00 USD,−0.07%,"4,937.50 USD",0.49%,80,25.00%,0.895,0,,0
"45, 3, 35","+1,097.00 USD",+0.11%,"2,696.00 USD",0.27%,97,25.77%,1.185,0,,0
"45, 3, 45","+1,572.50 USD",+0.16%,"2,347.50 USD",0.23%,121,26.45%,1.215,0,,0
"45, 3, 55",−484.50 USD,−0.05%,"3,950.50 USD",0.39%,150,24.00%,0.95,0,,0
"45, 3, 65","−1,223.00 USD",−0.12%,"4,327.00 USD",0.43%,161,21.74%,0.678,0,,0
"45, 3, 75","−1,920.00 USD",−0.19%,"4,670.50 USD",0.47%,169,21.89%,0.686,0,,0
"45, 3, 85","+1,270.50 USD",+0.13%,"3,930.50 USD",0.39%,182,24.73%,1.097,0,,0
"45, 3, 95",+0.50 USD,+0.00%,"5,307.50 USD",0.53%,194,25.26%,0.998,0,,0
"45, 3.5, 105",−249.50 USD,−0.02%,"3,423.00 USD",0.34%,151,25.83%,0.908,0,,0
"45, 3.5, 115",+14.00 USD,+0.00%,"3,457.50 USD",0.35%,156,25.64%,0.938,0,,0
"45, 3.5, 125",+148.50 USD,+0.01%,"3,072.00 USD",0.31%,112,25.00%,0.927,0,,0
"45, 3.5, 135","+1,312.50 USD",+0.13%,"3,397.50 USD",0.34%,117,27.35%,1.107,0,,0
"45, 3.5, 145","+2,227.00 USD",+0.22%,"4,100.00 USD",0.41%,122,27.87%,1.165,0,,0
"45, 3.5, 25",+869.50 USD,+0.09%,"3,058.00 USD",0.30%,52,30.77%,1.206,0,,0
"45, 3.5, 35",+385.00 USD,+0.04%,"2,571.00 USD",0.26%,76,22.37%,1.085,0,,0
"45, 3.5, 45",−883.50 USD,−0.09%,"3,333.50 USD",0.33%,98,23.47%,0.855,0,,0
"45, 3.5, 55","−1,456.00 USD",−0.15%,"3,398.50 USD",0.34%,104,24.04%,0.786,0,,0
"45, 3.5, 65","−2,658.50 USD",−0.27%,"3,515.50 USD",0.35%,119,22.69%,0.67,0,,0
"45, 3.5, 75","−3,167.00 USD",−0.32%,"4,074.00 USD",0.41%,131,23.66%,0.651,0,,0
"45, 3.5, 85","−2,230.50 USD",−0.22%,"2,962.00 USD",0.30%,136,25.00%,0.772,0,,0
"45, 3.5, 95","−2,890.50 USD",−0.29%,"3,545.50 USD",0.35%,144,25.00%,0.731,0,,0
"45, 4, 105","−1,133.50 USD",−0.11%,"3,665.50 USD",0.37%,118,25.42%,0.894,0,,0
"45, 4, 115","−2,247.00 USD",−0.22%,"4,783.50 USD",0.48%,124,24.19%,0.811,0,,0
"45, 4, 125",−594.50 USD,−0.06%,"1,934.00 USD",0.19%,86,29.07%,0.927,0,,0
"45, 4, 135",+865.50 USD,+0.09%,"1,883.50 USD",0.19%,87,28.74%,1.026,0,,0
"45, 4, 145",+331.00 USD,+0.03%,"2,087.50 USD",0.21%,91,29.67%,1.036,0,,0
"45, 4, 25",−990.50 USD,−0.10%,"4,071.00 USD",0.41%,47,31.91%,0.771,0,,0
"45, 4, 35","−3,808.00 USD",−0.38%,"6,160.50 USD",0.62%,63,28.57%,0.466,0,,0
"45, 4, 45",−209.00 USD,−0.02%,"3,531.50 USD",0.35%,77,25.97%,0.96,0,,0
"45, 4, 55","−1,125.50 USD",−0.11%,"3,822.00 USD",0.38%,83,24.10%,0.825,0,,0
"45, 4, 65",+554.50 USD,+0.06%,"4,302.50 USD",0.43%,89,25.84%,1.079,0,,0
"45, 4, 75","−1,419.50 USD",−0.14%,"4,755.00 USD",0.48%,100,25.00%,0.842,0,,0
"45, 4, 85","−1,370.50 USD",−0.14%,"2,864.00 USD",0.29%,107,24.30%,0.851,0,,0
"45, 4, 95",−862.00 USD,−0.09%,"3,261.50 USD",0.33%,113,25.66%,0.912,0,,0
"45, 4.5, 105","+1,428.50 USD",+0.14%,"2,178.00 USD",0.22%,104,22.12%,1.14,0,,0
"45, 4.5, 115",+81.50 USD,+0.01%,"3,224.00 USD",0.32%,108,20.37%,1.007,0,,0
"45, 4.5, 125",+857.00 USD,+0.09%,"2,678.50 USD",0.27%,81,22.22%,1.097,0,,0
"45, 4.5, 135",+456.00 USD,+0.05%,"2,952.50 USD",0.29%,82,21.95%,1.054,0,,0
"45, 4.5, 145",−965.00 USD,−0.10%,"3,314.50 USD",0.33%,86,20.93%,0.907,0,,0
"45, 4.5, 25",+360.00 USD,+0.04%,"4,749.00 USD",0.47%,39,35.90%,1.369,0,,0
"45, 4.5, 35","+1,240.50 USD",+0.12%,"4,791.50 USD",0.48%,50,32.00%,1.411,0,,0
"45, 4.5, 45","+6,791.50 USD",+0.68%,"2,044.50 USD",0.20%,63,28.57%,3.506,0,,0
"45, 4.5, 55","+2,910.50 USD",+0.29%,"5,220.50 USD",0.52%,74,25.68%,1.705,0,,0
"45, 4.5, 65",−250.00 USD,−0.02%,"5,660.00 USD",0.56%,85,23.53%,1.283,0,,0
"45, 4.5, 75",−225.00 USD,−0.02%,"5,936.50 USD",0.59%,89,22.47%,1.201,0,,0
"45, 4.5, 85","+1,423.50 USD",+0.14%,"3,790.50 USD",0.38%,96,22.92%,1.444,0,,0
"45, 4.5, 95",+902.00 USD,+0.09%,"3,891.50 USD",0.39%,100,23.00%,1.376,0,,0
"45, 5, 105","+10,423.00 USD",+1.04%,"1,999.50 USD",0.20%,89,34.83%,2.811,0,,0
"45, 5, 115","+10,838.00 USD",+1.08%,"1,857.00 USD",0.18%,89,33.71%,2.777,0,,0
"45, 5, 125","+8,257.50 USD",+0.83%,"1,446.50 USD",0.14%,64,31.25%,2.663,0,,0
"45, 5, 135","+8,359.00 USD",+0.84%,"1,334.00 USD",0.13%,65,29.23%,2.614,0,,0
"45, 5, 145","+7,684.50 USD",+0.77%,"1,456.50 USD",0.14%,66,27.27%,2.347,0,,0
"45, 5, 25","−7,241.00 USD",−0.72%,"10,044.50 USD",1.00%,39,30.77%,0.278,0,,0
"45, 5, 35","−7,704.00 USD",−0.77%,"10,236.00 USD",1.02%,54,31.48%,0.298,0,,0
"45, 5, 45",+925.50 USD,+0.09%,"3,215.00 USD",0.32%,64,40.63%,1.205,0,,0
"45, 5, 55","+2,701.00 USD",+0.27%,"3,812.50 USD",0.38%,73,38.36%,1.493,0,,0
"45, 5, 65","+1,580.00 USD",+0.16%,"3,619.50 USD",0.36%,74,35.14%,1.275,0,,0
"45, 5, 75","+9,102.50 USD",+0.91%,"1,850.00 USD",0.18%,81,38.27%,3.165,0,,0
"45, 5, 85","+9,817.50 USD",+0.98%,"1,555.00 USD",0.16%,85,38.82%,3.105,0,,0
"45, 5, 95","+9,241.00 USD",+0.92%,"1,952.50 USD",0.19%,87,35.63%,2.733,0,,0
"45, 5.5, 105","−4,993.50 USD",−0.50%,"4,996.00 USD",0.50%,75,21.33%,0.378,0,,0
"45, 5.5, 115","−4,060.50 USD",−0.41%,"4,110.00 USD",0.41%,78,25.64%,0.506,0,,0
"45, 5.5, 125","−1,508.00 USD",−0.15%,"3,402.50 USD",0.34%,57,24.56%,0.773,0,,0
"45, 5.5, 135",−164.50 USD,−0.02%,"2,275.00 USD",0.23%,57,26.32%,0.972,0,,0
"45, 5.5, 145",−680.50 USD,−0.07%,"2,502.50 USD",0.25%,59,27.12%,0.895,0,,0
"45, 5.5, 25","−1,280.00 USD",−0.13%,"3,510.50 USD",0.35%,32,28.13%,0.658,0,,0
"45, 5.5, 35",+684.50 USD,+0.07%,"2,720.50 USD",0.27%,36,25.00%,1.373,0,,0
"45, 5.5, 45",+59.00 USD,+0.01%,"2,911.00 USD",0.29%,40,22.50%,1.024,0,,0
"45, 5.5, 55",−422.50 USD,−0.04%,"3,013.00 USD",0.30%,43,20.93%,0.856,0,,0
"45, 5.5, 65",−489.50 USD,−0.05%,"3,086.00 USD",0.31%,48,18.75%,0.847,0,,0
"45, 5.5, 75","−1,198.50 USD",−0.12%,"3,081.00 USD",0.31%,54,18.52%,0.703,0,,0
"45, 5.5, 85","−1,803.50 USD",−0.18%,"3,517.50 USD",0.35%,63,20.63%,0.702,0,,0
"45, 5.5, 95","−3,805.50 USD",−0.38%,"4,165.50 USD",0.42%,70,21.43%,0.466,0,,0
"45, 6, 105","−4,481.50 USD",−0.45%,"6,464.50 USD",0.65%,63,22.22%,0.434,0,,0
"45, 6, 115","−5,750.00 USD",−0.57%,"6,783.50 USD",0.68%,65,18.46%,0.328,0,,0
"45, 6, 125","−5,795.00 USD",−0.58%,"6,079.00 USD",0.61%,50,14.00%,0.268,0,,0
"45, 6, 135","−6,504.00 USD",−0.65%,"6,506.50 USD",0.65%,50,12.00%,0.214,0,,0
"45, 6, 145","−6,345.50 USD",−0.63%,"6,377.50 USD",0.64%,51,11.76%,0.263,0,,0
"45, 6, 25","−3,228.00 USD",−0.32%,"4,174.50 USD",0.42%,18,33.33%,0.284,0,,0
"45, 6, 35","−7,420.00 USD",−0.74%,"9,960.00 USD",1.00%,26,26.92%,0.194,0,,0
"45, 6, 45","−9,259.00 USD",−0.93%,"11,308.00 USD",1.13%,35,20.00%,0.162,0,,0
"45, 6, 55","−9,402.50 USD",−0.94%,"11,503.00 USD",1.15%,38,21.05%,0.174,0,,0
"45, 6, 65","−3,792.50 USD",−0.38%,"5,840.00 USD",0.58%,42,19.05%,0.373,0,,0
"45, 6, 75","−9,749.00 USD",−0.97%,"11,697.00 USD",1.17%,51,21.57%,0.217,0,,0
"45, 6, 85","−3,908.00 USD",−0.39%,"5,822.50 USD",0.58%,56,23.21%,0.415,0,,0
"45, 6, 95","−4,141.00 USD",−0.41%,"5,693.00 USD",0.57%,56,23.21%,0.39,0,,0
"45, 6.5, 105","−2,492.50 USD",−0.25%,"4,035.50 USD",0.40%,50,18.00%,0.502,0,,0
"45, 6.5, 115","−3,184.50 USD",−0.32%,"4,605.50 USD",0.46%,54,14.81%,0.434,0,,0
"45, 6.5, 125","−2,538.00 USD",−0.25%,"3,826.50 USD",0.38%,39,17.95%,0.469,0,,0
"45, 6.5, 135","−3,377.50 USD",−0.34%,"4,156.00 USD",0.42%,41,14.63%,0.393,0,,0
"45, 6.5, 145","−4,293.00 USD",−0.43%,"4,926.00 USD",0.49%,44,13.64%,0.337,0,,0
"45, 6.5, 25","−2,866.00 USD",−0.29%,"4,180.50 USD",0.42%,18,22.22%,0.214,0,,0
"45, 6.5, 35",−524.00 USD,−0.05%,"3,444.50 USD",0.34%,26,23.08%,0.854,0,,0
"45, 6.5, 45","−1,094.00 USD",−0.11%,"3,635.00 USD",0.36%,34,20.59%,0.742,0,,0
"45, 6.5, 55",+635.00 USD,+0.06%,"1,906.00 USD",0.19%,37,21.62%,1.247,0,,0
"45, 6.5, 65",−462.50 USD,−0.05%,"1,906.00 USD",0.19%,41,21.95%,0.834,0,,0
"45, 6.5, 75",+289.00 USD,+0.03%,"1,906.00 USD",0.19%,43,23.26%,1.091,0,,0
"45, 6.5, 85","−1,712.50 USD",−0.17%,"2,732.00 USD",0.27%,48,18.75%,0.602,0,,0
"45, 6.5, 95","−1,615.50 USD",−0.16%,"2,545.50 USD",0.25%,48,18.75%,0.61,0,,0
"45, 7, 105",−416.50 USD,−0.04%,"2,516.00 USD",0.25%,41,17.07%,0.902,0,,0
"45, 7, 115",−17.00 USD,0.00%,"2,184.00 USD",0.22%,44,18.18%,0.996,0,,0
"45, 7, 125","−2,393.00 USD",−0.24%,"2,581.00 USD",0.26%,37,18.92%,0.441,0,,0
"45, 7, 135","−2,667.00 USD",−0.27%,"2,855.00 USD",0.29%,38,18.42%,0.413,0,,0
"45, 7, 145","−2,620.00 USD",−0.26%,"2,976.00 USD",0.30%,38,18.42%,0.4,0,,0
"45, 7, 25",−30.50 USD,0.00%,993.00 USD,0.10%,10,20.00%,0.967,0,,0
"45, 7, 35","+2,311.00 USD",+0.23%,598.00 USD,0.06%,15,33.33%,4.083,0,,0
"45, 7, 45","+1,741.00 USD",+0.17%,945.00 USD,0.09%,21,23.81%,2.335,0,,0
"45, 7, 55","+1,953.00 USD",+0.20%,742.50 USD,0.07%,24,25.00%,2.145,0,,0
"45, 7, 65","+1,565.50 USD",+0.16%,"1,077.50 USD",0.11%,26,23.08%,1.748,0,,0
"45, 7, 75","+7,752.00 USD",+0.78%,"1,344.50 USD",0.13%,33,24.24%,3.845,0,,0
"45, 7, 85","+7,566.50 USD",+0.76%,"1,460.50 USD",0.14%,34,23.53%,3.6,0,,0
"45, 7, 95","+6,660.50 USD",+0.67%,"2,120.50 USD",0.21%,39,20.51%,2.773,0,,0
"45, 7.5, 105","+1,625.00 USD",+0.16%,"4,067.00 USD",0.41%,47,34.04%,1.323,0,,0
"45, 7.5, 115","+1,571.00 USD",+0.16%,"4,121.00 USD",0.41%,48,35.42%,1.309,0,,0
"45, 7.5, 125","−3,202.00 USD",−0.32%,"4,700.50 USD",0.47%,36,27.78%,0.346,0,,0
"45, 7.5, 135","−3,510.00 USD",−0.35%,"5,008.50 USD",0.50%,37,27.03%,0.326,0,,0
"45, 7.5, 145","−3,492.50 USD",−0.35%,"5,265.00 USD",0.53%,38,26.32%,0.311,0,,0
"45, 7.5, 25",−429.00 USD,−0.04%,"3,367.00 USD",0.34%,17,58.82%,0.903,0,,0
"45, 7.5, 35","−2,260.00 USD",−0.23%,"3,367.00 USD",0.34%,25,44.00%,0.508,0,,0
"45, 7.5, 45","−3,286.50 USD",−0.33%,"4,074.50 USD",0.41%,25,44.00%,0.414,0,,0
"45, 7.5, 55","−3,021.00 USD",−0.30%,"4,329.50 USD",0.43%,31,41.94%,0.512,0,,0
"45, 7.5, 65","−1,173.00 USD",−0.12%,"4,590.00 USD",0.46%,34,41.18%,0.815,0,,0
"45, 7.5, 75",−384.50 USD,−0.04%,"4,718.00 USD",0.47%,35,40.00%,0.93,0,,0
"45, 7.5, 85",+996.50 USD,+0.10%,"4,252.50 USD",0.42%,40,35.00%,1.242,0,,0
"45, 7.5, 95","+1,473.00 USD",+0.15%,"4,395.00 USD",0.44%,44,34.09%,1.329,0,,0
"45, 8, 105",+448.50 USD,+0.04%,"4,104.00 USD",0.41%,36,33.33%,1.087,0,,0
"45, 8, 115",+180.00 USD,+0.02%,"4,216.00 USD",0.42%,36,33.33%,1.034,0,,0
"45, 8, 125","−2,174.00 USD",−0.22%,"4,216.00 USD",0.42%,23,26.09%,0.395,0,,0
"45, 8, 135","−2,736.50 USD",−0.27%,"4,751.00 USD",0.47%,26,23.08%,0.334,0,,0
"45, 8, 145","−2,967.50 USD",−0.30%,"4,825.50 USD",0.48%,28,21.43%,0.316,0,,0
"45, 8, 25","+1,083.00 USD",+0.11%,"3,540.00 USD",0.35%,10,30.00%,1.418,0,,0
"45, 8, 35",+354.00 USD,+0.04%,"3,762.50 USD",0.38%,16,25.00%,1.116,0,,0
"45, 8, 45",+273.00 USD,+0.03%,"3,843.50 USD",0.38%,17,23.53%,1.087,0,,0
"45, 8, 55","−2,285.00 USD",−0.23%,"6,358.00 USD",0.63%,22,18.18%,0.596,0,,0
"45, 8, 65","−2,124.50 USD",−0.21%,"6,023.50 USD",0.60%,25,24.00%,0.616,0,,0
"45, 8, 75",−492.50 USD,−0.05%,"4,211.00 USD",0.42%,28,25.00%,0.875,0,,0
"45, 8, 85","−2,236.50 USD",−0.22%,"3,944.50 USD",0.39%,32,28.13%,0.54,0,,0
"45, 8, 95","−2,345.00 USD",−0.23%,"4,043.00 USD",0.40%,34,29.41%,0.533,0,,0
"45, 8.5, 105",−808.00 USD,−0.08%,"3,039.00 USD",0.30%,35,28.57%,0.77,0,,0
"45, 8.5, 115",−538.50 USD,−0.05%,"2,446.50 USD",0.24%,36,27.78%,0.834,0,,0
"45, 8.5, 125","+2,006.50 USD",+0.20%,"1,898.50 USD",0.19%,27,29.63%,1.8,0,,0
"45, 8.5, 135","+1,897.00 USD",+0.19%,"1,898.50 USD",0.19%,28,28.57%,1.725,0,,0
"45, 8.5, 145","+1,644.50 USD",+0.16%,"2,052.00 USD",0.20%,29,27.59%,1.594,0,,0
"45, 8.5, 25","+3,762.50 USD",+0.38%,668.00 USD,0.07%,14,42.86%,7.584,0,,0
"45, 8.5, 35","+4,951.50 USD",+0.50%,"1,619.50 USD",0.16%,18,44.44%,8.816,0,,0
"45, 8.5, 45","+3,648.00 USD",+0.36%,"1,770.50 USD",0.18%,21,28.57%,4.15,0,,0
"45, 8.5, 55","+4,202.50 USD",+0.42%,"1,634.50 USD",0.16%,24,37.50%,4.212,0,,0
"45, 8.5, 65","+3,038.50 USD",+0.30%,"1,732.00 USD",0.17%,24,33.33%,3.141,0,,0
"45, 8.5, 75","+2,834.00 USD",+0.28%,"1,862.50 USD",0.19%,27,33.33%,2.766,0,,0
"45, 8.5, 85",−512.00 USD,−0.05%,"2,960.00 USD",0.30%,33,27.27%,0.833,0,,0
"45, 8.5, 95",−820.00 USD,−0.08%,"3,094.50 USD",0.31%,34,26.47%,0.757,0,,0
"45, 9, 105","+2,174.50 USD",+0.22%,"3,225.00 USD",0.32%,30,20.00%,1.817,0,,0
"45, 9, 115","+1,320.00 USD",+0.13%,"3,631.50 USD",0.36%,34,14.71%,1.379,0,,0
"45, 9, 125",+981.00 USD,+0.10%,"3,250.50 USD",0.33%,25,12.00%,1.371,0,,0
"45, 9, 135","−1,346.00 USD",−0.13%,"2,093.50 USD",0.21%,26,7.69%,0.568,0,,0
"45, 9, 145","−1,525.50 USD",−0.15%,"2,273.00 USD",0.23%,27,7.41%,0.537,0,,0
"45, 9, 25","+3,085.50 USD",+0.31%,"1,617.00 USD",0.16%,7,14.29%,0.009,0,,0
"45, 9, 35",+183.50 USD,+0.02%,"1,617.00 USD",0.16%,12,33.33%,1.337,0,,0
"45, 9, 45",−252.00 USD,−0.03%,"3,318.50 USD",0.33%,16,25.00%,0.873,0,,0
"45, 9, 55",−197.00 USD,−0.02%,"1,915.00 USD",0.19%,22,31.82%,0.907,0,,0
"45, 9, 65","+1,160.50 USD",+0.12%,"1,946.00 USD",0.19%,24,33.33%,1.506,0,,0
"45, 9, 75","+3,668.50 USD",+0.37%,"2,162.50 USD",0.22%,29,31.03%,2.877,0,,0
"45, 9, 85","+3,453.00 USD",+0.35%,"2,361.00 USD",0.24%,29,27.59%,2.686,0,,0
"45, 9, 95","+2,931.00 USD",+0.29%,"2,468.50 USD",0.25%,30,26.67%,2.14,0,,0
"45, 9.5, 105","+4,306.50 USD",+0.43%,889.00 USD,0.09%,27,29.63%,1.484,0,,0
"45, 9.5, 115","+4,434.00 USD",+0.44%,"1,007.00 USD",0.10%,27,29.63%,1.452,0,,0
"45, 9.5, 125","+4,577.50 USD",+0.46%,925.50 USD,0.09%,22,36.36%,1.651,0,,0
"45, 9.5, 135","+1,769.50 USD",+0.18%,925.50 USD,0.09%,24,33.33%,1.71,0,,0
"45, 9.5, 145","+7,460.00 USD",+0.75%,925.50 USD,0.09%,26,34.62%,3.703,0,,0
"45, 9.5, 25",−123.00 USD,−0.01%,"3,251.50 USD",0.33%,4,50.00%,0.091,0,,0
"45, 9.5, 35",−119.00 USD,−0.01%,"3,376.50 USD",0.34%,8,62.50%,0.153,0,,0
"45, 9.5, 45","+2,421.50 USD",+0.24%,"3,573.50 USD",0.36%,13,46.15%,1.478,0,,0
"45, 9.5, 55","+2,502.00 USD",+0.25%,"3,647.50 USD",0.36%,17,41.18%,1.108,0,,0
"45, 9.5, 65","+2,464.00 USD",+0.25%,"1,514.00 USD",0.15%,20,30.00%,0.778,0,,0
"45, 9.5, 75","+2,477.00 USD",+0.25%,"1,194.50 USD",0.12%,23,34.78%,0.99,0,,0
"45, 9.5, 85","+2,324.00 USD",+0.23%,"1,166.50 USD",0.12%,26,34.62%,0.945,0,,0
"45, 9.5, 95","+2,465.50 USD",+0.25%,"1,184.50 USD",0.12%,27,29.63%,0.804,0,,0
"50, 10, 105",−439.50 USD,−0.04%,744.50 USD,0.07%,24,45.83%,0.639,0,,0
"50, 10, 115",−779.50 USD,−0.08%,"1,016.50 USD",0.10%,25,44.00%,0.5,0,,0
"50, 10, 125",+733.00 USD,+0.07%,742.00 USD,0.07%,20,45.00%,1.52,0,,0
"50, 10, 135","+1,606.50 USD",+0.16%,808.50 USD,0.08%,20,45.00%,2.141,0,,0
"50, 10, 145","+1,692.50 USD",+0.17%,741.50 USD,0.07%,21,42.86%,1.968,0,,0
"50, 10, 25","+2,812.00 USD",+0.28%,996.50 USD,0.10%,9,55.56%,9.628,0,,0
"50, 10, 35","+2,861.00 USD",+0.29%,"1,007.50 USD",0.10%,11,54.55%,6.518,0,,0
"50, 10, 45","+4,941.00 USD",+0.49%,"1,007.50 USD",0.10%,13,61.54%,13.293,0,,0
"50, 10, 55","+4,637.00 USD",+0.46%,"1,007.50 USD",0.10%,14,57.14%,8.398,0,,0
"50, 10, 65","+5,273.00 USD",+0.53%,"1,034.50 USD",0.10%,16,56.25%,6.32,0,,0
"50, 10, 75","+1,503.50 USD",+0.15%,"1,034.50 USD",0.10%,19,57.89%,4.078,0,,0
"50, 10, 85","+1,484.50 USD",+0.15%,"1,034.50 USD",0.10%,19,57.89%,3.925,0,,0
"50, 10, 95",+751.00 USD,+0.08%,774.50 USD,0.08%,22,50.00%,1.831,0,,0
"50, 10.5, 105","+1,966.00 USD",+0.20%,"1,987.00 USD",0.20%,20,25.00%,0.34,0,,0
"50, 10.5, 115","−1,412.50 USD",−0.14%,"1,544.00 USD",0.15%,21,23.81%,0.324,0,,0
"50, 10.5, 125",−798.50 USD,−0.08%,930.00 USD,0.09%,15,20.00%,0.433,0,,0
"50, 10.5, 135",−801.50 USD,−0.08%,933.00 USD,0.09%,16,25.00%,0.431,0,,0
"50, 10.5, 145",+197.50 USD,+0.02%,861.50 USD,0.09%,17,35.29%,1.142,0,,0
"50, 10.5, 25",−341.00 USD,−0.03%,366.50 USD,0.04%,5,20.00%,0.051,0,,0
"50, 10.5, 35",−506.50 USD,−0.05%,513.50 USD,0.05%,9,22.22%,0.229,0,,0
"50, 10.5, 45",−858.50 USD,−0.09%,865.50 USD,0.09%,13,23.08%,0.216,0,,0
"50, 10.5, 55",−821.50 USD,−0.08%,860.50 USD,0.09%,15,26.67%,0.319,0,,0
"50, 10.5, 65","+1,789.00 USD",+0.18%,"1,529.00 USD",0.15%,16,25.00%,0.283,0,,0
"50, 10.5, 75","+1,378.50 USD",+0.14%,"1,717.50 USD",0.17%,17,17.65%,0.239,0,,0
"50, 10.5, 85","+1,338.50 USD",+0.13%,"1,759.00 USD",0.18%,18,22.22%,0.241,0,,0
"50, 10.5, 95","+1,194.50 USD",+0.12%,"2,270.50 USD",0.23%,20,25.00%,0.19,0,,0
"50, 11, 105","+2,095.00 USD",+0.21%,"1,811.00 USD",0.18%,13,15.38%,0.322,0,,0
"50, 11, 115","+2,191.50 USD",+0.22%,"1,838.00 USD",0.18%,13,15.38%,0.318,0,,0
"50, 11, 125","−2,954.00 USD",−0.29%,"6,740.50 USD",0.67%,8,12.50%,0.065,0,,0
"50, 11, 135","−3,134.50 USD",−0.31%,"6,823.50 USD",0.68%,8,12.50%,0.064,0,,0
"50, 11, 145","−2,840.50 USD",−0.28%,"6,731.00 USD",0.67%,9,22.22%,0.121,0,,0
"50, 11, 25",−694.00 USD,−0.07%,720.00 USD,0.07%,5,0.00%,0,0,,0
"50, 11, 35",−199.00 USD,−0.02%,744.00 USD,0.07%,6,16.67%,0.72,0,,0
"50, 11, 45",−353.50 USD,−0.04%,753.50 USD,0.08%,8,12.50%,0.592,0,,0
"50, 11, 55",−438.50 USD,−0.04%,753.50 USD,0.08%,9,11.11%,0.539,0,,0
"50, 11, 65",−550.50 USD,−0.06%,865.50 USD,0.09%,10,10.00%,0.482,0,,0
"50, 11, 75",−778.50 USD,−0.08%,951.50 USD,0.10%,11,9.09%,0.397,0,,0
"50, 11, 85",−808.50 USD,−0.08%,963.50 USD,0.10%,11,9.09%,0.388,0,,0
"50, 11, 95",−982.00 USD,−0.10%,"1,084.50 USD",0.11%,11,9.09%,0.343,0,,0
"50, 11.5, 105","−1,637.00 USD",−0.16%,"1,642.00 USD",0.16%,12,8.33%,0.186,0,,0
"50, 11.5, 115","−2,006.00 USD",−0.20%,"2,011.00 USD",0.20%,13,7.69%,0.157,0,,0
"50, 11.5, 125","−6,558.00 USD",−0.66%,"6,731.00 USD",0.67%,10,20.00%,0.119,0,,0
"50, 11.5, 135","−6,568.00 USD",−0.66%,"6,731.00 USD",0.67%,10,20.00%,0.119,0,,0
"50, 11.5, 145","−6,982.50 USD",−0.70%,"7,021.00 USD",0.70%,11,18.18%,0.113,0,,0
"50, 11.5, 25",−459.00 USD,−0.05%,545.50 USD,0.05%,5,20.00%,0.449,0,,0
"50, 11.5, 35",−459.00 USD,−0.05%,545.50 USD,0.05%,5,20.00%,0.449,0,,0
"50, 11.5, 45",−545.50 USD,−0.05%,632.00 USD,0.06%,6,16.67%,0.407,0,,0
"50, 11.5, 55",−648.00 USD,−0.06%,734.50 USD,0.07%,7,14.29%,0.366,0,,0
"50, 11.5, 65",−827.50 USD,−0.08%,914.00 USD,0.09%,8,12.50%,0.312,0,,0
